score, window_size, features, neighbors,,,,,,,,,,,,
0.7767800503491573,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],50,,,,
0.7767783301241176,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance'],50,
0.7756603381781276,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge'],50,,,,
0.7754888704901964,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance', 'entropy'],50
0.775344462271082,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],100,,,,
0.7750424880724354,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],25,,,,,,,
0.7748713753775492,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],100,,,,
0.7748363193786157,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'entropy'],50,,,
0.7747315208345532,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],50,,,,,,,
0.7740981951988307,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],50,,,,,,,
0.7740637524729697,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],25,,,,,,,
0.7739783518487812,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],10,,,,,,,
0.7737783508867144,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],100,,,,,,,
0.772837001830491,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],5,,,,
0.7724459911571947,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],100,,,,,,,
0.772098823873097,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_variance', 'G_variance', 'B_variance'],300,,,,
0.7719164025320324,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_variance', 's_variance', 'v_variance'],300,,,,
0.7716236019425577,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance'],50,
0.7713283262494038,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance', 'entropy'],100
0.7709902419930306,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],10,,,,,,,
0.770594652496589,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'entropy'],100,,,
0.7704382093559327,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge'],50,,,,
0.7700796902525713,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],300,,,,,,,
0.7697465945277767,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],5,,,,,,,
0.7692537006434808,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance'],100,
0.7687337922646874,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge'],100,,,,
0.7684239277889596,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf'],300,,,,,,,
0.7679798223516013,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_edge', 'a_edge', 'b_edge', 'entropy'],10,,,
0.7679561685326203,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_edge', 'a_edge', 'b_edge'],10,,,,
0.7658406105390251,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance', 'entropy'],100
0.7655183049101721,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf'],5,,,,,,,
0.7653013605900622,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'entropy'],100,,,
0.7643769051341457,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_variance', 'a_variance', 'b_variance', 'entropy'],25,,,
0.7643762160672651,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_variance', 'a_variance', 'b_variance'],25,,,,
0.764340983367433,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_edge', 'a_edge', 'b_edge'],5,,,,
0.7643332004372266,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_edge', 'a_edge', 'b_edge', 'entropy'],5,,,
0.7628514882748518,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_variance', 'a_variance', 'b_variance'],50,,,,
0.7628506769550144,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_variance', 'a_variance', 'b_variance', 'entropy'],50,,,
0.7615880672214248,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance'],100,
0.7613666409601337,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_edge', 'a_edge', 'b_edge'],25,,,,
0.7613639748743833,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_edge', 'a_edge', 'b_edge', 'entropy'],25,,,
0.7611937633061086,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance', 'entropy'],10
0.7611800081505252,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_variance', 'a_variance', 'b_variance', 'entropy'],10,,,
0.7611537491803643,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_variance', 'a_variance', 'b_variance'],10,,,,
0.7609524175501952,30, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge'],100,,,,
0.760592356608107,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'h_variance', 's_variance', 'v_variance', 'entropy'],5
0.7605819403548281,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'entropy'],10,,,
0.7595997563664484,15, ['h', 's', 'v', 'h_mf', 's_mf', 'v_mf', 'h_edge', 's_edge', 'v_edge', 'entropy'],5,,,
0.7586173801906645,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_variance', 'a_variance', 'b_variance'],100,,,,
0.7586163973038016,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_variance', 'a_variance', 'b_variance', 'entropy'],100,,,
0.758410061428431,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_variance', 'a_variance', 'b_variance', 'entropy'],5,,,
0.7584002619666101,30, ['L', 'a', 'b', 'L_mf', 'a_mf', 'b_mf', 'L_variance', 'a_variance', 'b_variance'],5,,,,
0.7580264950941084,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance', 'entropy'],5
0.7578657046308225,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance', 'entropy'],10
0.7571126387759933,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'entropy'],10,,,
0.7563329810806659,15, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'entropy'],5,,,
0.7556377800561984,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'R_variance', 'G_variance', 'B_variance', 'entropy'],300
0.7549660290205019,30, ['R', 'G', 'B', 'R_mf', 'G_mf', 'B_mf', 'R_edge', 'G_edge', 'B_edge', 'entropy'],300,,,
